Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2040,0.3274,0.1694,0.2111,0.5760,0.0615,0.4092473114,0.0000,0.0000000000,0.0000000000,0.0000,0.1112
MF,10,0.1962,0.4324,0.1716,0.3654,0.4941,0.0521,0.4066364734,0.0000,0.0000000000,0.0000000000,0.0000,0.0942
MF,15,0.1845,0.5909,0.1754,0.3208,0.5413,0.0581,0.4089742926,0.0000,0.0000000000,0.0000000000,0.0000,0.1049
MF,20,0.1681,0.7593,0.1045,0.9181,0.4997,0.0528,0.4109823825,0.0000,0.0000000000,0.0000000000,0.0000,0.0956
MF,25,0.1481,0.9016,0.0759,1.3497,0.4763,0.0501,0.4078943333,0.0000,0.0000000000,0.0000000000,0.0000,0.0906
MF,30,0.1297,1.0684,0.0316,1.9063,0.4757,0.0507,0.4117576298,0.0000,0.0000000000,0.0000000000,0.0000,0.0917
MF,35,0.1116,1.2994,0.0386,1.4370,0.4928,0.0524,0.4112362932,0.0000,0.0000000000,0.0000000000,0.0000,0.0947
MF,40,0.0949,1.3924,0.0205,1.7347,0.4752,0.0505,0.4111821850,0.0000,0.0000000000,0.0000000000,0.0000,0.0912
MF,45,0.0822,1.6238,0.0194,2.6777,0.4601,0.0488,0.4115093264,0.0000,0.0000000000,0.0000000000,0.0000,0.0882
MF,50,0.0673,1.8405,0.0201,3.4674,0.4579,0.0487,0.4134234817,0.0000,0.0000000000,0.0000000000,0.0000,0.0881
