Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.2062,0.3290,0.1240,0.2106,0.5528,0.0604,0.4627048827,0.0000,0.0000000000,0.0000000000,0.0000,0.1089
MF,10,0.1991,0.4682,0.1926,0.3039,0.5090,0.0555,0.4621320738,0.0000,0.0000000000,0.0000000000,0.0000,0.1002
MF,15,0.1870,0.6206,0.1074,0.5432,0.4851,0.0529,0.4642792443,0.0000,0.0000000000,0.0000000000,0.0000,0.0954
MF,20,0.1678,0.7604,0.0771,0.6241,0.4778,0.0518,0.4615554309,0.0000,0.0000000000,0.0000000000,0.0000,0.0935
MF,25,0.1473,0.9241,0.0912,0.8206,0.4828,0.0523,0.4621430009,0.0000,0.0000000000,0.0000000000,0.0000,0.0944
MF,30,0.1302,1.1338,0.0729,1.0827,0.4707,0.0508,0.4660079030,0.0000,0.0000000000,0.0000000000,0.0000,0.0916
MF,35,0.1123,1.2990,0.0459,1.1829,0.4874,0.0530,0.4607168737,0.0000,0.0000000000,0.0000000000,0.0000,0.0956
MF,40,0.0947,1.4493,0.0282,1.2811,0.4835,0.0522,0.4629039663,0.0000,0.0000000000,0.0000000000,0.0000,0.0943
MF,45,0.0795,1.6634,0.0352,1.0338,0.4604,0.0495,0.4595369412,0.0000,0.0000000000,0.0000000000,0.0000,0.0894
MF,50,0.0679,1.8502,0.0249,1.1483,0.4912,0.0536,0.4587766947,0.0000,0.0000000000,0.0000000000,0.0000,0.0967
