Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.1053,0.3058,0.0080,0.0593,0.6982,0.0766,0.4174598382,0.0000,0.0000000000,0.0000000000,0.0000,0.1381
MF,10,nan,nan,0.0078,0.0362,0.7176,0.0790,0.4190827486,0.0000,0.0000000000,0.0000000000,0.0000,0.1424
MF,15,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,20,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,25,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,30,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,35,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,40,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,45,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
MF,50,nan,nan,nan,nan,0.7094,0.0791,0.4235248447,0.0000,0.0000000000,0.0000000000,0.0000,0.1423
