Metrics,K,Train RMSE,Test RMSE,Train MAE,Test MAE,MEP,MER,MAP,MAR,AUC,nDCG,F1-score,EF1-score
MF,5,0.1027,0.3266,0.0452,0.1520,0.7299,0.0794,0.4503095765,0.0000,0.0000000000,0.0000000000,0.0000,0.1432
MF,10,nan,nan,0.0451,0.1648,0.7614,0.0832,0.4498001495,0.0000,0.0000000000,0.0000000000,0.0000,0.1500
MF,15,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,20,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,25,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,30,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,35,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,40,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,45,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
MF,50,nan,nan,nan,nan,0.7094,0.0780,0.4455055210,0.0000,0.0000000000,0.0000000000,0.0000,0.1405
